OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
1,48,015,760100,2400,1087,2400,647,1753,1730,1406,308,8,8,0,0,23,1789,428,1361,1349,1126,208,8,7,0,0,12,1087,910,177,1912508363.33837,240542.665642
2,48,015,760200,6032,2430,6032,2037,3995,3922,3139,747,5,26,0,5,73,4364,1263,3101,3057,2484,547,4,20,0,2,44,2430,2121,309,1666558357.24284,266128.354769
3,48,015,760300,7037,2970,7037,1964,5073,5011,4472,473,13,42,0,11,62,5188,1212,3976,3947,3574,322,10,35,0,6,29,2970,2604,366,3926603170.80177,355938.907851
4,48,015,760400,3660,2172,3660,378,3282,3258,3061,172,7,1,0,17,24,2863,215,2648,2633,2494,122,3,1,0,13,15,2172,1501,671,5351475752.0278,356947.330853
5,48,015,760501,4184,1949,4184,450,3734,3682,3389,268,19,5,0,1,52,3332,303,3029,3000,2772,208,15,4,0,1,29,1949,1658,291,3100561695.20634,303462.136681
6,48,015,760502,5104,2318,5104,1165,3939,3902,3190,654,27,28,1,2,37,3752,695,3057,3038,2517,484,17,18,1,1,19,2318,2043,275,2337925778.61822,333539.853945
7,48,039,660100,4523,1666,4523,704,3819,3758,3392,170,15,171,7,3,61,3483,480,3003,2976,2714,118,13,126,5,0,27,1666,1615,51,45427456.911435,37764.431847
8,48,039,660200,5638,2084,5638,1154,4484,4416,3737,338,19,309,0,13,68,4026,734,3292,3254,2766,242,9,230,0,7,38,2084,1927,157,197001967.319552,65709.35233
9,48,039,660300,9536,3554,9536,1883,7653,7555,6226,856,25,434,3,11,98,6676,1194,5482,5435,4535,567,20,304,2,7,47,3554,3287,267,107347729.075825,49218.047724
10,48,039,660400,9119,3475,9119,2062,7057,6878,5039,892,26,900,0,21,179,6499,1309,5190,5114,3822,591,20,667,0,14,76,3475,3286,189,117491177.62117,50398.808686
11,48,039,660500,8987,3291,8987,3481,5506,5407,4387,676,40,292,2,10,99,6598,2285,4313,4262,3530,477,35,211,2,7,51,3291,3043,248,264195004.15859,68361.481694
12,48,039,660601,11893,4438,11893,1659,10234,9922,5381,2341,29,2154,1,16,312,8654,1034,7620,7466,4246,1663,16,1530,1,10,154,4438,4276,162,120825690.708094,44937.588773
13,48,039,660602,26843,9411,26843,5860,20983,20445,7169,7324,54,5826,6,66,538,18369,3582,14787,14565,5373,5117,39,3991,4,41,222,9411,8729,682,514418668.455595,97650.942977
14,48,039,660701,15452,5685,15452,2480,12972,12648,6556,3801,34,2212,1,44,324,10292,1454,8838,8691,4556,2569,20,1524,1,21,147,5685,5340,345,111641609.767835,48941.433836
15,48,039,660702,11664,4338,11664,2222,9442,9246,6142,1635,33,1414,2,20,196,7955,1377,6578,6486,4384,1120,20,952,2,8,92,4338,3997,341,399037682.639826,86559.33028
16,48,039,660801,8422,2906,8422,2476,5946,5829,4141,1191,36,449,6,6,117,5845,1566,4279,4229,3085,790,23,321,5,5,50,2906,2798,108,73931807.718414,42952.080003
