OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,OBJECTID_1,GEOID,SUMLEVEL,ST,COUNTY_1,TRACT_1,BLKGRP_1,Total,Only_English,Only_Spanish,Other_Languages,BG_ID_1,Shapearea,Shapelen,Percent_Only_English,Percent_Only_Spanish,Percent_Other_Languages
1,48,157,670101,1,1167,303,1167,841,326,320,54,252,1,9,0,4,6,776,553,223,222,51,161,1,8,0,1,1,303,286,17,481576701011,1,15000US481576701011,150,48,157,670101,1,994,335,659,0,481576701011,4257484.043889,11380.091047,33.702213,66.297787,0
2,48,157,670101,2,1758,492,1758,1033,725,717,34,673,0,10,0,0,8,1184,660,524,522,31,483,0,8,0,0,2,492,467,25,481576701012,2,15000US481576701012,150,48,157,670101,2,1611,738,873,0,481576701012,6885015.935975,12471.490333,45.810056,54.189944,0
3,48,157,670101,3,2577,779,2577,1040,1537,1525,44,1455,6,13,0,7,12,1656,657,999,992,36,939,3,10,0,4,7,779,693,86,481576701013,3,15000US481576701013,150,48,157,670101,3,1834,992,842,0,481576701013,11180028.672094,14261.93693,54.089422,45.910578,0
4,48,157,670101,4,1272,339,1272,1024,248,244,50,189,1,0,0,4,4,831,650,181,180,46,133,1,0,0,0,1,339,318,21,481576701014,4,15000US481576701014,150,48,157,670101,4,1830,403,1427,0,481576701014,3148186.523697,7731.396743,22.021858,77.978142,0
5,48,157,670102,1,2270,739,2270,940,1330,1321,35,1258,2,24,0,2,9,1568,603,965,959,29,905,2,21,0,2,6,739,693,46,481576701021,5,15000US481576701021,150,48,157,670102,1,2163,1835,290,38,481576701021,8460550.249232,11680.485434,84.835876,13.407305,1.756819
6,48,157,670102,2,1113,369,1113,230,883,878,12,857,0,4,0,5,5,767,145,622,618,10,601,0,4,0,3,4,369,352,17,481576701022,6,15000US481576701022,150,48,157,670102,2,873,841,32,0,481576701022,4652107.154453,8782.144703,96.334479,3.665521,0
7,48,157,670200,1,960,312,960,250,710,700,53,631,2,14,0,0,10,695,156,539,535,45,474,2,14,0,0,4,312,294,18,481576702001,7,15000US481576702001,150,48,157,670200,1,1157,598,539,20,481576702001,6706271.015407,11115.4279,51.685393,46.585998,1.728608
8,48,157,670200,2,1374,398,1374,958,416,402,110,266,5,19,0,2,14,977,642,335,332,106,201,5,19,0,1,3,398,380,18,481576702002,8,15000US481576702002,150,48,157,670200,2,1115,410,705,0,481576702002,4539383.564573,10329.651648,36.7713,63.2287,0
9,48,157,670200,3,1515,492,1515,563,952,941,27,897,1,16,0,0,11,1087,354,733,725,23,685,1,16,0,0,8,492,466,26,481576702003,9,15000US481576702003,150,48,157,670200,3,1662,1091,571,0,481576702003,4725680.012557,8891.774594,65.643803,34.356197,0
10,48,157,670200,4,2682,788,2682,1040,1642,1633,36,1575,1,14,1,6,9,1843,637,1206,1200,31,1152,0,12,1,4,6,788,750,38,481576702004,10,15000US481576702004,150,48,157,670200,4,2188,1354,834,0,481576702004,9170927.316529,14369.004143,61.882998,38.117002,0
11,48,157,670200,5,1791,576,1791,423,1368,1365,27,1332,6,0,0,0,3,1237,264,973,970,21,946,3,0,0,0,3,576,550,26,481576702005,11,15000US481576702005,150,48,157,670200,5,1634,1249,360,25,481576702005,13949526.580351,15103.494353,76.438188,22.031824,1.529988
12,48,157,670300,1,1831,596,1831,583,1248,1233,53,1161,0,16,0,3,15,1273,346,927,921,48,857,0,15,0,1,6,596,559,37,481576703001,12,15000US481576703001,150,48,157,670300,1,1453,1177,276,0,481576703001,11487147.498337,14251.128973,81.004818,18.995182,0
13,48,157,670300,2,1970,664,1970,267,1703,1664,26,1631,0,2,0,5,39,1460,158,1302,1283,19,1261,0,2,0,1,19,664,631,33,481576703002,13,15000US481576703002,150,48,157,670300,2,1813,1441,362,10,481576703002,20750154.148325,21282.377215,79.481522,19.966906,0.551572
14,48,157,670400,1,1764,646,1764,163,1601,1588,23,1540,4,18,1,2,13,1193,92,1101,1098,17,1060,1,17,1,2,3,646,629,17,481576704001,14,15000US481576704001,150,48,157,670400,1,1294,1227,39,28,481576704001,11489057.760294,14161.495328,94.822257,3.01391,2.163833
15,48,157,670400,2,1052,378,1052,148,904,894,7,883,0,0,0,4,10,757,97,660,654,6,648,0,0,0,0,6,378,349,29,481576704002,15,15000US481576704002,150,48,157,670400,2,1149,909,234,6,481576704002,6660212.154769,10813.02185,79.112272,20.365535,0.522193
16,48,157,670400,3,2242,793,2242,431,1811,1785,50,1719,3,7,0,6,26,1619,275,1344,1331,44,1274,3,7,0,3,13,793,736,57,481576704003,16,15000US481576704003,150,48,157,670400,3,2076,1623,191,262,481576704003,10295596.90659,14971.10605,78.179191,9.200385,12.620424
17,48,157,670500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576705001,17,15000US481576705001,150,48,157,670500,1,1404,1078,302,24,481576705001,488422.887641,2941.629413,76.780627,21.509971,1.709402
18,48,157,670500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576705002,18,15000US481576705002,150,48,157,670500,2,2645,1837,746,62,481576705002,2842550.065857,13138.121648,69.451796,28.204159,2.344045
19,48,157,670601,1,1774,607,1774,130,1644,1625,45,1569,1,4,0,6,19,1312,71,1241,1234,38,1189,1,4,0,2,7,607,583,24,481576706011,19,15000US481576706011,150,48,157,670601,1,1720,1633,55,32,481576706011,14996600.828546,17040.878237,94.94186,3.197674,1.860465
20,48,157,670601,3,1114,390,1114,107,1007,995,20,968,2,5,0,0,12,803,70,733,723,18,699,1,5,0,0,10,390,371,19,481576706013,20,15000US481576706013,150,48,157,670601,3,3073,2769,65,239,481576706013,4383793.229783,13984.801643,90.107387,2.115197,7.777416
21,48,157,670601,4,351,120,351,48,303,301,3,295,0,3,0,0,2,232,32,200,199,3,193,0,3,0,0,1,120,115,5,481576706014,21,15000US481576706014,150,48,157,670601,4,1641,1458,156,27,481576706014,4575076.988076,12553.033189,88.848263,9.506399,1.645338
22,48,157,670602,1,1907,652,1907,508,1399,1393,36,1323,8,16,0,10,6,1349,328,1021,1017,31,963,4,14,0,5,4,652,605,47,481576706021,22,15000US481576706021,150,48,157,670602,1,2199,1659,540,0,481576706021,28683389.805924,21857.930762,75.443383,24.556617,0
23,48,157,670700,1,1506,514,1506,125,1381,1367,38,1302,2,23,0,2,14,1064,77,987,982,36,923,2,20,0,1,5,514,487,27,481576707001,23,15000US481576707001,150,48,157,670700,1,1836,1602,161,73,481576707001,8636663.107119,14326.208075,87.254902,8.769063,3.976035
24,48,157,671900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576719001,24,15000US481576719001,150,48,157,671900,1,1175,920,147,108,481576719001,77247.496828,2173.931167,78.297872,12.510638,9.191489
25,48,157,672001,3,2076,843,2076,699,1377,1323,359,439,5,510,1,9,54,1528,455,1073,1039,297,336,4,398,0,4,34,843,799,44,481576720013,25,15000US481576720013,150,48,157,672001,3,1257,254,854,149,481576720013,10852963.707202,16911.315722,20.206842,67.939539,11.85362
26,48,157,672301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576723011,26,15000US481576723011,150,48,157,672301,1,7631,2582,1044,4005,481576723011,1789202.983989,11285.52509,33.83567,13.681038,52.483292
27,48,157,672400,1,115,30,115,12,103,99,0,62,0,37,0,0,4,83,8,75,71,0,40,0,31,0,0,4,30,30,0,481576724001,27,15000US481576724001,150,48,157,672400,1,2124,677,326,1121,481576724001,3813462.561065,18004.200893,31.873823,15.348399,52.777778
28,48,157,672400,2,31,10,31,8,23,23,14,6,3,0,0,0,0,20,5,15,15,8,4,3,0,0,0,0,10,10,0,481576724002,28,15000US481576724002,150,48,157,672400,2,2829,827,1018,984,481576724002,5882137.290353,10352.425367,29.232944,35.984447,34.782609
29,48,157,672500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576725003,29,15000US481576725003,150,48,157,672500,3,3047,1486,518,1043,481576725003,1624503.632482,11880.75242,48.769281,17.000328,34.230391
30,48,157,672601,2,4,1,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,481576726012,30,15000US481576726012,150,48,157,672601,2,1186,349,711,126,481576726012,44527.096826,1370.120032,29.426644,59.94941,10.623946
31,48,157,672601,5,9,3,9,7,2,2,0,2,0,0,0,0,0,6,4,2,2,0,2,0,0,0,0,0,3,3,0,481576726015,31,15000US481576726015,150,48,157,672601,5,1720,758,716,246,481576726015,134998.35259,2698.071546,44.069767,41.627907,14.302326
32,48,157,672701,1,3,1,3,0,3,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,3,0,0,0,1,1,0,481576727011,32,15000US481576727011,150,48,157,672701,1,4211,1292,1000,1919,481576727011,573375.308996,10931.772977,30.681548,23.747328,45.571123
33,48,157,672701,2,6,3,6,5,1,1,0,0,0,1,0,0,0,4,3,1,1,0,0,0,1,0,0,0,3,3,0,481576727012,33,15000US481576727012,150,48,157,672701,2,6524,2609,1527,2388,481576727012,1751449.966835,15374.566506,39.990803,23.405886,36.603311
34,48,157,672900,1,825,298,825,229,596,576,278,167,1,130,0,0,20,580,148,432,425,213,114,1,97,0,0,7,298,278,20,481576729001,34,15000US481576729001,150,48,157,672900,1,19570,10679,4223,4668,481576729001,13119360.592737,37186.061781,54.568217,21.578947,23.852836
35,48,157,673001,2,9,4,9,1,8,8,6,0,0,2,0,0,0,9,1,8,8,6,0,0,2,0,0,0,4,4,0,481576730012,35,15000US481576730012,150,48,157,673001,2,3148,2172,389,587,481576730012,1279996.42914,12246.303557,68.996188,12.357052,18.64676
36,48,157,673002,1,480,143,480,85,395,379,285,18,0,74,0,2,16,293,49,244,235,179,9,0,46,0,1,9,143,139,4,481576730021,36,15000US481576730021,150,48,157,673002,1,4406,2895,668,843,481576730021,50749023.882328,33061.929035,65.705856,15.161144,19.133
37,48,157,673002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576730022,37,15000US481576730022,150,48,157,673002,2,2258,1623,178,457,481576730022,47802642.764278,49365.631055,71.877768,7.883082,20.23915
38,48,157,673003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576730031,38,15000US481576730031,150,48,157,673003,1,4182,2862,436,884,481576730031,698548.180501,20827.67998,68.436155,10.425634,21.138211
39,48,157,673003,2,61,17,61,8,53,52,32,0,1,19,0,0,1,37,4,33,33,19,0,1,13,0,0,0,17,17,0,481576730032,39,15000US481576730032,150,48,157,673003,2,7144,4736,936,1472,481576730032,9380640.869335,41525.684963,66.293393,13.101904,20.604703
40,48,157,673102,1,479,256,479,109,370,365,288,24,0,52,1,0,5,329,58,271,269,219,15,0,34,1,0,2,256,210,46,481576731021,40,15000US481576731021,150,48,157,673102,1,6643,4766,810,1067,481576731021,2343276.780043,25030.25148,71.744694,12.193286,16.06202
41,48,157,673102,2,36,13,36,6,30,28,11,4,0,13,0,0,2,24,4,20,19,7,4,0,8,0,0,1,13,12,1,481576731022,41,15000US481576731022,150,48,157,673102,2,4571,3094,606,871,481576731022,1192516.998074,10730.256373,67.687596,13.257493,19.054911
42,48,157,673400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576734001,42,15000US481576734001,150,48,157,673400,1,6854,5271,973,610,481576734001,5910688.339822,11479.079723,76.903998,14.19609,8.899912
