OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1,Median_HHI
1,1,48,157,670101,1,1167,303,1167,841,326,320,54,252,1,9,0,4,6,776,553,223,222,51,161,1,8,0,1,1,303,286,17,481576701011,15000US481576701011,481576701011,45318
2,2,48,157,670101,2,1758,492,1758,1033,725,717,34,673,0,10,0,0,8,1184,660,524,522,31,483,0,8,0,0,2,492,467,25,481576701012,15000US481576701012,481576701012,33022
3,3,48,157,670101,3,2577,779,2577,1040,1537,1525,44,1455,6,13,0,7,12,1656,657,999,992,36,939,3,10,0,4,7,779,693,86,481576701013,15000US481576701013,481576701013,46979
4,4,48,157,670101,4,1272,339,1272,1024,248,244,50,189,1,0,0,4,4,831,650,181,180,46,133,1,0,0,0,1,339,318,21,481576701014,15000US481576701014,481576701014,51755
5,5,48,157,670102,1,2270,739,2270,940,1330,1321,35,1258,2,24,0,2,9,1568,603,965,959,29,905,2,21,0,2,6,739,693,46,481576701021,15000US481576701021,481576701021,35600
6,6,48,157,670102,2,1113,369,1113,230,883,878,12,857,0,4,0,5,5,767,145,622,618,10,601,0,4,0,3,4,369,352,17,481576701022,15000US481576701022,481576701022,69519
7,7,48,157,670200,1,960,312,960,250,710,700,53,631,2,14,0,0,10,695,156,539,535,45,474,2,14,0,0,4,312,294,18,481576702001,15000US481576702001,481576702001,59693
8,8,48,157,670200,2,1374,398,1374,958,416,402,110,266,5,19,0,2,14,977,642,335,332,106,201,5,19,0,1,3,398,380,18,481576702002,15000US481576702002,481576702002,41532
9,9,48,157,670200,3,1515,492,1515,563,952,941,27,897,1,16,0,0,11,1087,354,733,725,23,685,1,16,0,0,8,492,466,26,481576702003,15000US481576702003,481576702003,43571
10,10,48,157,670200,4,2682,788,2682,1040,1642,1633,36,1575,1,14,1,6,9,1843,637,1206,1200,31,1152,0,12,1,4,6,788,750,38,481576702004,15000US481576702004,481576702004,66250
11,11,48,157,670200,5,1791,576,1791,423,1368,1365,27,1332,6,0,0,0,3,1237,264,973,970,21,946,3,0,0,0,3,576,550,26,481576702005,15000US481576702005,481576702005,73750
12,12,48,157,670300,1,1831,596,1831,583,1248,1233,53,1161,0,16,0,3,15,1273,346,927,921,48,857,0,15,0,1,6,596,559,37,481576703001,15000US481576703001,481576703001,43088
13,13,48,157,670300,2,1970,664,1970,267,1703,1664,26,1631,0,2,0,5,39,1460,158,1302,1283,19,1261,0,2,0,1,19,664,631,33,481576703002,15000US481576703002,481576703002,59797
14,14,48,157,670400,1,1764,646,1764,163,1601,1588,23,1540,4,18,1,2,13,1193,92,1101,1098,17,1060,1,17,1,2,3,646,629,17,481576704001,15000US481576704001,481576704001,33482
15,15,48,157,670400,2,1052,378,1052,148,904,894,7,883,0,0,0,4,10,757,97,660,654,6,648,0,0,0,0,6,378,349,29,481576704002,15000US481576704002,481576704002,52375
16,16,48,157,670400,3,2242,793,2242,431,1811,1785,50,1719,3,7,0,6,26,1619,275,1344,1331,44,1274,3,7,0,3,13,793,736,57,481576704003,15000US481576704003,481576704003,59000
17,17,48,157,670500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576705001,15000US481576705001,481576705001,85332
18,18,48,157,670500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481576705002,15000US481576705002,481576705002,51982
19,19,48,157,670601,1,1774,607,1774,130,1644,1625,45,1569,1,4,0,6,19,1312,71,1241,1234,38,1189,1,4,0,2,7,607,583,24,481576706011,15000US481576706011,481576706011,82550
20,20,48,157,670601,3,1114,390,1114,107,1007,995,20,968,2,5,0,0,12,803,70,733,723,18,699,1,5,0,0,10,390,371,19,481576706013,15000US481576706013,481576706013,61489
21,21,48,157,670601,4,351,120,351,48,303,301,3,295,0,3,0,0,2,232,32,200,199,3,193,0,3,0,0,1,120,115,5,481576706014,15000US481576706014,481576706014,75037
22,22,48,157,670602,1,1907,652,1907,508,1399,1393,36,1323,8,16,0,10,6,1349,328,1021,1017,31,963,4,14,0,5,4,652,605,47,481576706021,15000US481576706021,481576706021,57279
23,23,48,157,670700,1,1506,514,1506,125,1381,1367,38,1302,2,23,0,2,14,1064,77,987,982,36,923,2,20,0,1,5,514,487,27,481576707001,15000US481576707001,481576707001,49856
