OBJECTID_1,OBJECTID,STATE,COUNTY,TRACT,BLKGRP,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPo,SUM_NonHis,SUM_NHOneR,SUM_NH_Whi,SUM_NH_Bla,SUM_NH_AmI,SUM_NH_Asi,SUM_NH_Haw,SUM_NH_Oth,SUM_NH_2or,SUM_VAP_To,SUM_VAP_Hi,SUM_VAP_No,SUM_VAP_NH,SUM_VAP__1,SUM_VAP__2,SUM_VAP__3,SUM_VAP__4,SUM_VAP_Ha,SUM_VAP__5,SUM_VAP__6,SUM_TotHou,SUM_OccHU,SUM_Vacant,BG_ID,GEOID,BG_ID_1, Median_HHI ,No_HS,HS_Graduate,Some_College,BS_and_Higher,Shapearea,Shapelen,Percent_No_HS,Percent_HS_Graduate,Percent_Some_College,Percent_BS_and_Higher,% No HS
180,180,48,201,222700,2,34,11,34,21,13,12,7,5,0,0,0,0,1,23,10,13,12,7,5,0,0,0,0,1,11,11,0,4.82012E+11,15000US482012227002,4.82012E+11," 6,230 ",259,229,145,0,5584401.519,10364.77556, 41 ,36.176935,22.906793,0,40.9%
76,76,48,201,211300,1,766,439,766,177,589,584,26,556,2,0,0,0,5,596,116,480,476,26,448,2,0,0,0,4,439,372,67,4.82012E+11,15000US482012113001,4.82012E+11," 6,679 ",411,212,51,96,4196861.061,9791.122965, 53 ,27.532468,6.623377,12.467532,53.4%
443,443,48,201,312200,1,713,381,713,115,598,594,12,579,0,3,0,0,4,511,63,448,444,10,431,0,3,0,0,4,381,272,109,4.82013E+11,15000US482013122001,4.82013E+11," 8,449 ",210,197,69,0,5237556.848,12470.04369, 44 ,41.386555,14.495798,0,44.1%
460,460,48,201,312800,1,1364,548,1364,129,1235,1227,10,1215,1,0,1,0,8,895,68,827,819,7,810,1,0,1,0,8,548,493,55,4.82013E+11,15000US482013128001,4.82013E+11," 8,720 ",229,178,186,27,5485434.224,9527.52726, 37 ,28.709677,30,4.354839,36.9%
449,449,48,201,312400,2,657,373,657,59,598,596,22,569,0,5,0,0,2,491,36,455,453,20,428,0,5,0,0,2,373,250,123,4.82013E+11,15000US482013124002,4.82013E+11," 9,597 ",248,130,15,0,3258254.259,7741.783312, 63 ,33.07888,3.816794,0,63.1%
209,209,48,201,230900,4,1239,462,1239,123,1116,1106,10,1096,0,0,0,0,10,740,67,673,669,8,661,0,0,0,0,4,462,420,42,4.82012E+11,15000US482012309004,4.82012E+11," 9,682 ",174,165,120,12,23410265.86,24359.84398, 37 ,35.031847,25.477707,2.547771,36.9%
445,445,48,201,312200,3,662,404,662,105,557,556,8,543,0,4,0,1,1,509,66,443,443,8,430,0,4,0,1,0,404,268,136,4.82013E+11,15000US482013122003,4.82013E+11," 9,851 ",260,196,106,19,3773138.445,9151.408408, 45 ,33.73494,18.244406,3.270224,44.8%
130,130,48,201,220800,2,2137,854,2137,649,1488,1479,54,1406,6,12,0,1,9,1383,376,1007,1002,49,940,3,9,0,1,5,854,758,96,4.82012E+11,15000US482012208002,4.82012E+11," 11,652 ",617,291,96,77,10640973.25,14229.68382, 57 ,26.919519,8.880666,7.123034,57.1%
910,910,48,201,422401,3,1582,867,1582,291,1291,1284,254,873,6,147,0,4,7,1228,200,1028,1022,246,620,6,146,0,4,6,867,827,40,4.82014E+11,15000US482014224013,4.82014E+11," 12,028 ",195,202,297,195,2262935.379,6855.108356, 22 ,22.72216,33.408324,21.934758,21.9%
1554,1554,48,201,550200,2,1557,818,1557,471,1086,1047,62,970,2,13,0,0,39,982,288,694,666,49,605,1,11,0,0,28,818,600,218,4.82016E+11,15000US482015502002,4.82016E+11," 12,135 ",172,123,206,62,8185528.552,13582.94782, 31 ,21.847247,36.589698,11.012433,30.6%
100,100,48,201,212300,3,676,335,676,493,183,180,32,146,0,1,0,1,3,467,311,156,153,32,119,0,1,0,1,3,335,234,101,4.82012E+11,15000US482012123003,4.82012E+11," 12,368 ",187,113,57,43,20442575.22,24006.10613, 47 ,28.25,14.25,10.75,46.8%
1195,1195,48,201,453100,1,2046,1124,2046,1271,775,757,83,530,2,135,1,6,18,1354,800,554,543,74,353,1,112,1,2,11,1124,651,473,4.82015E+11,15000US482014531001,4.82015E+11," 12,380 ",343,433,113,72,11008186.87,13715.2363, 36 ,45.057232,11.758585,7.492196,35.7%
203,203,48,201,230700,3,359,295,359,15,344,344,2,341,1,0,0,0,0,268,9,259,259,2,256,1,0,0,0,0,295,164,131,4.82012E+11,15000US482012307003,4.82012E+11," 12,390 ",108,102,0,0,5242603.371,10723.1018, 51 ,48.571429,0,0,51.4%
1087,1087,48,201,433600,4,1736,972,1736,600,1136,1124,65,1012,10,33,0,4,12,1158,381,777,768,59,671,6,28,0,4,9,972,658,314,4.82014E+11,15000US482014336004,4.82014E+11," 12,398 ",287,266,267,59,2295551.386,8131.595175, 33 ,30.261661,30.375427,6.712173,32.7%
65,65,48,201,211000,1,856,382,856,215,641,634,9,605,1,14,0,5,7,641,133,508,503,7,486,1,6,0,3,5,382,328,54,4.82012E+11,15000US482012110001,4.82012E+11," 12,456 ",254,155,91,51,5416209.638,10525.0513, 46 ,28.130671,16.515426,9.255898,46.1%
587,587,48,201,331400,1,2520,1098,2520,88,2432,2412,11,2371,3,26,0,1,20,1514,45,1469,1460,11,1424,1,23,0,1,9,1098,1011,87,4.82013E+11,15000US482013314001,4.82013E+11," 12,966 ",306,1122,179,75,17009984.43,17516.71817, 18 ,66.706302,10.642093,4.458977,18.2%
1438,1438,48,201,532001,4,2057,1407,2057,886,1171,1152,100,1032,5,12,0,3,19,1375,559,816,804,85,702,4,10,0,3,12,1407,782,625,4.82015E+11,15000US482015320014,4.82015E+11," 12,973 ",332,357,221,163,3206072.816,11729.33676, 31 ,33.271202,20.596459,15.191053,30.9%
1063,1063,48,201,433003,1,1908,880,1908,235,1673,1638,40,481,1,1115,0,1,35,1422,136,1286,1266,28,255,1,981,0,1,20,880,787,93,4.82014E+11,15000US482014330031,4.82014E+11," 13,393 ",459,310,167,178,7830733.894,13391.98128, 41 ,27.827648,14.991023,15.978456,41.2%
77,77,48,201,211300,2,1423,603,1423,392,1031,1017,29,987,0,0,0,1,14,872,223,649,641,18,623,0,0,0,0,8,603,488,115,4.82012E+11,15000US482012113002,4.82012E+11," 13,594 ",352,114,136,12,4515780.321,8767.820603, 57 ,18.566775,22.149837,1.954397,57.3%
478,478,48,201,313500,2,996,423,996,162,834,827,16,809,0,0,0,2,7,712,103,609,604,15,588,0,0,0,1,5,423,349,74,4.82013E+11,15000US482013135002,4.82013E+11," 13,724 ",242,194,49,19,4728482.571,9743.578255, 48 ,38.492063,9.722222,3.769841,48.0%
1436,1436,48,201,532001,2,618,818,618,96,522,518,147,356,5,7,0,3,4,525,68,457,454,134,309,3,7,0,1,3,818,329,489,4.82015E+11,15000US482015320012,4.82015E+11," 13,826 ",88,110,141,100,6998401.846,12447.69229, 20 ,25.056948,32.118451,22.779043,20.0%
447,447,48,201,312300,2,1189,690,1189,182,1007,1003,29,964,0,7,1,2,4,928,121,807,805,24,771,0,7,1,2,2,690,514,176,4.82013E+11,15000US482013123002,4.82013E+11," 13,835 ",438,222,44,14,7017106.005,10996.81298, 61 ,30.91922,6.128134,1.949861,61.0%
69,69,48,201,211100,3,865,367,865,377,488,481,2,473,0,6,0,0,7,638,237,401,398,2,390,0,6,0,0,3,367,298,69,4.82012E+11,15000US482012111003,4.82012E+11," 13,889 ",268,194,42,0,6240146.979,16291.79286, 53 ,38.492063,8.333333,0,53.2%
1058,1058,48,201,433001,1,1061,429,1061,346,715,694,53,145,0,491,5,0,21,787,230,557,541,45,126,0,368,2,0,16,429,398,31,4.82014E+11,15000US482014330011,4.82014E+11," 13,920 ",105,189,109,12,7372743.833,11195.05828, 25 ,45.542169,26.26506,2.891566,25.3%
