"","COUNTY","TRACT","BLKGRP","SUM_POP100","SUM_HU100","SUM_TotPop","SUM_HispPo","SUM_NonHis","SUM_NHOneR","SUM_NH_Whi","SUM_NH_Bla","SUM_NH_AmI","SUM_NH_Asi","SUM_NH_Haw","SUM_NH_Oth","SUM_NH_2or","SUM_VAP_To","SUM_VAP_Hi","SUM_VAP_No","SUM_VAP_NH","SUM_VAP__1","SUM_VAP__2","SUM_VAP__3","SUM_VAP__4","SUM_VAP_Ha","SUM_VAP__5","SUM_VAP__6","SUM_TotHou","SUM_OccHU","SUM_Vacant","Shapearea","Median_HHI","Median_House_Value","Only_English","Only_Spanish","Other_Languages","Percent_Only_English","Percent_Only_Spanish","Percent_Other_Languages","No_HS","HS_Graduate","Some_College","BS_and_Higher","Percent_No_HS","Percent_HS_Graduate","Percent_Some_College","Percent_BS_and_Higher","Vac_Rate"
"670101-1",157,670101,1,1167,303,1167,841,326,320,54,252,1,9,0,4,6,776,553,223,222,51,161,1,8,0,1,1,303,286,17,4257484.043889,45318,90100,335,659,0,33.702213,66.297787,0,192,217,192,0,31.946755,36.106489,31.946755,0,5.61056105610561
"670101-2",157,670101,2,1758,492,1758,1033,725,717,34,673,0,10,0,0,8,1184,660,524,522,31,483,0,8,0,0,2,492,467,25,6885015.935975,33022,89900,738,873,0,45.810056,54.189944,0,97,296,371,55,11.843712,36.141636,45.299145,6.715507,5.08130081300813
"670101-3",157,670101,3,2577,779,2577,1040,1537,1525,44,1455,6,13,0,7,12,1656,657,999,992,36,939,3,10,0,4,7,779,693,86,11180028.672094,46979,102500,992,842,0,54.089422,45.910578,0,268,277,410,56,26.508408,27.398615,40.553907,5.53907,11.0397946084724
"670101-4",157,670101,4,1272,339,1272,1024,248,244,50,189,1,0,0,4,4,831,650,181,180,46,133,1,0,0,0,1,339,318,21,3148186.523697,51755,68100,403,1427,0,22.021858,77.978142,0,595,371,171,44,50.381033,31.414056,14.479255,3.725656,6.19469026548673
"670102-1",157,670102,1,2270,739,2270,940,1330,1321,35,1258,2,24,0,2,9,1568,603,965,959,29,905,2,21,0,2,6,739,693,46,8460550.249232,35600,81900,1835,290,38,84.835876,13.407305,1.756819,135,487,488,144,10.76555,38.835726,38.91547,11.483254,6.22462787550744
"670102-2",157,670102,2,1113,369,1113,230,883,878,12,857,0,4,0,5,5,767,145,622,618,10,601,0,4,0,3,4,369,352,17,4652107.154453,69519,124800,841,32,0,96.334479,3.665521,0,64,148,197,187,10.738255,24.832215,33.053691,31.375839,4.6070460704607
"670200-1",157,670200,1,960,312,960,250,710,700,53,631,2,14,0,0,10,695,156,539,535,45,474,2,14,0,0,4,312,294,18,6706271.015407,59693,101200,598,539,20,51.685393,46.585998,1.728608,182,175,362,63,23.273657,22.378517,46.29156,8.056266,5.76923076923077
"670200-2",157,670200,2,1374,398,1374,958,416,402,110,266,5,19,0,2,14,977,642,335,332,106,201,5,19,0,1,3,398,380,18,4539383.564573,41532,74800,410,705,0,36.7713,63.2287,0,306,245,161,80,38.636364,30.934343,20.328283,10.10101,4.52261306532663
"670200-3",157,670200,3,1515,492,1515,563,952,941,27,897,1,16,0,0,11,1087,354,733,725,23,685,1,16,0,0,8,492,466,26,4725680.012557,43571,91200,1091,571,0,65.643803,34.356197,0,290,357,241,139,28.237585,34.761441,23.466407,13.534567,5.28455284552845
"670200-4",157,670200,4,2682,788,2682,1040,1642,1633,36,1575,1,14,1,6,9,1843,637,1206,1200,31,1152,0,12,1,4,6,788,750,38,9170927.316529,66250,95900,1354,834,0,61.882998,38.117002,0,283,520,348,155,21.669219,39.816233,26.646248,11.8683,4.82233502538071
"670200-5",157,670200,5,1791,576,1791,423,1368,1365,27,1332,6,0,0,0,3,1237,264,973,970,21,946,3,0,0,0,3,576,550,26,13949526.580351,73750,94400,1249,360,25,76.438188,22.031824,1.529988,107,335,451,145,10.308285,32.273603,43.44894,13.969171,4.51388888888889
"670300-1",157,670300,1,1831,596,1831,583,1248,1233,53,1161,0,16,0,3,15,1273,346,927,921,48,857,0,15,0,1,6,596,559,37,11487147.498337,43088,95400,1177,276,0,81.004818,18.995182,0,232,275,331,130,23.966942,28.409091,34.194215,13.429752,6.20805369127517
"670300-2",157,670300,2,1970,664,1970,267,1703,1664,26,1631,0,2,0,5,39,1460,158,1302,1283,19,1261,0,2,0,1,19,664,631,33,20750154.148325,59797,98500,1441,362,10,79.481522,19.966906,0.551572,129,335,510,190,11.082474,28.780069,43.814433,16.323024,4.96987951807229
